,title,price,available_date,listdate,link,location,Location:,contact,description,page_views,Available:,Furnishings:,Ideal tenants:,In the area:,Parking:,Property ID#:,Smoke alarm:,bathrooms,bedrooms
28,07/97 Farmer Crescent,270,Available Fri 3 Mar,Listed Today,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1258311812.htm,"Taita, Lower Hutt","07/97 Farmer Crescent
Taita
Lower Hutt
Wellington",Jo MacDonald,"2 bedroom house with 1 bathroom.Sunny two (2) bedroom apartment is now available in the new Riverside Gardens Development.Apartment features modern kitchen and updated bathroom, good sized living areas and off street parking.  Great indoor/outdoor flow with balcony close to schools and public transport.  Special conditions apply so please see our letting team to arrange to view.  4 weeks bond, one week rent in advance.  A letting fee applies.To make an appointment simply Click on the Viewing Tracker link and follow the promptsNo pets or smokers.Agency reference #: OXY45929",0253,Fri 3 Mar,,,,Off Street Parking,,,1,2
29,4/9 Totara Street,230,Available Wed 8 Mar,Listed Today,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1258273196.htm,"Trentham, Upper Hutt","4/9 Totara Street
Trentham
Upper Hutt
Wellington",Catherine Beal,"2 bedroom unit with 1 bathroom.This two (2) bedroom sunny unit comprises of two double bedrooms, dining and lounge are together and the bathroom has a shower over the bath.  There is a separate toilet and an alcove kitchen.  This unit is one of a block of four and is the top back unit.  You have public transport at your feet both rail and bus plus the local shops.  If you like horse racing then Trentham Races is around the corner.  The schools closest are Saint Brendans, Trentham Primary and Upper Hutt College.  The unit comes with a nice view of Trentham Memorial Park which is minutes away. If you do not like gardening or mowing lawns this is not an issue as the grounds are taken care of for you.To make an enquiry or to book an appointment, simply click on the Viewing Tracker link and follow the prompts.No pets or smokers.Agency reference #: OXY9359",0166,Wed 8 Mar,,,,Off Street Parking,FDS792,,1,2
30,4/304 Ohiro Rd,280,Available Sat 18 Feb,Listed Today,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1258244032.htm,"Brooklyn, Wellington","4/304 Ohiro Rd
Brooklyn
Wellington
Wellington",kerry potts,"1 bedroom apartment with 1 bathroom.Tidy one bedroom apartment.Close to city, Brooklyn shops and busBathroom with shower and heated towel railCarportPhone 021449699 for more information or to viewSuitable for up to 2 tenants.No pets or smokers.Agency reference #: Kerry/Roanne",0236,Sat 18 Feb,"Stove,dehu­midifier,carpets.curtains,light fittings","Quiet,tidy­, responsibl­e with references","Local primary school,sho­ps,close to beach and city",carport,FDS650,Yes,1,1
31,Featherston,320,Available Sat 18 Feb,Listed Today,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1258219191.htm,"Featherston, South Wairarapa","Featherston
South Wairarapa
Wellington",,"3 bedroom house with 1 bathroom.sunny 3 bedroom, one new bathroom, separate toilet,No pets or smokers.",0114,Sat 18 Feb,,,,carport &amp; garage,FDS545,,1,3
32,508/5 Aitken Street,315,Available Fri 3 Mar,Listed Today,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1258202396.htm,"Thorndon, Wellington","508/5 Aitken Street
Thorndon
Wellington
Wellington",Melissa Su'a,"1 bedroom apartment with 1 bathroom.Very well presented and modern fully furnished studio apartments available in Thorndon - Very central to the city! The studios include double bed, wardrobe, table and chairs, kitchenette with fridge, electric cooking, dishwasher, microwave, washing machine plus a modern bathroom with separate shower.No Pets or Smokers. 12 Month Fixed term lease preferred.Breakdown of move in costs: 4 weeks bond, 1 weeks rent in advance plus a letting fee of 1 weeks rent + GSTOut of hours viewing (Including weekends) must be made by prior appointment.Agency reference #: CHR837",0108,Fri 3 Mar,,,,,FDS479,,1,1
33,707/5 Aitken Street,320,Available Mon 13 Feb,Listed Today,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1258164297.htm,"Thorndon, Wellington","707/5 Aitken Street
Thorndon
Wellington
Wellington",Aaron Simpson,"1 bedroom apartment with 1 bathroom.Furnished one bedroom studio apartment in the heart of the business district Modern kitchen with good bench and storage space. All appliances including dishdraw. Clean and tidy bathroom with shower, good water pressure and free hot water. Secure building with swipe card access from the front entrance.If you wish to view please book in via viewing tracker.No pets or smokers.",0104,Mon 13 Feb,Fully furnished,,Everythign Central Wellington has to offer,,FDS293,,1,1
34,22c Trebann,350,Available Sat 18 Feb,Listed Today,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1258161275.htm,"Newlands, Wellington","22c Trebann
Newlands
Wellington
Wellington",Chris Wheatley,"2 bedroom unit with 1 bathroom.2 bedroom flat2 double bedrooms with wardrobesOpen planned kitchen and living area.Modern bathroom with built in laundry areaHallway with 2 storage areas.Sunny location**To view this property you must book in below using the booking form. If on your smart phone please download the Trade Me Property app and book in there. Otherwise go to www.ipsproperty.viewingtracker.com (please copy and paste the link).All interested tenants MUST register online for the property they wish to view. All correspondence about these viewings are done through Viewing Tracker. You will be notified of a time, once it is set, or of cancellations or changes, so it is imperative to register.**Suitable for up to 2 tenants.No pets or smokers.",0585,Sat 18 Feb,"Dishwasher­, Dvs",Profession­al couple/fri­ends,"Close to central Newlands shops, close to parks and schools and bus transport.",Off-street for 1 vehicle,FDS282,Yes,1,2
35,Oriel Place,190,Available Tue 7 Feb,Listed Yesterday,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1257855322.htm,"Redwood, Wellington","Oriel Place
Redwood
Wellington
Wellington",,"4 bedroom house with 2 bathrooms.Are you a quiet, responsible, tidy, mature male student (ideally Masters or PhD student) requiring accommodation in a quiet neighbourhood less than 20 minutes away from Pipitea Campus? Do you wish to pay a set amount for rent and power every week? Then you may be the person we are looking to share our home with.The house, which has just been extensively renovated, has a spacious living and dining area, has day long sunshine with expansive views of the Tawa valley. There are two bathrooms and two toilets (one in the downstairs bathroom and the other is upstairs and separate from the bathroom) and a gas system providing continuous hot water so we never run out. Weekly rent includes – high-speed broadband internet, electricity/gas, all necessary amenities such as washing machine and dryer. A west-facing bedroom – that you can lock from inside – which is furnished with an in-built wardrobe, double futon bed, electric blanket, study desk and chair, table lamp, storage cabinet and bedside cabinet.It takes 7 minutes to walk to Takapu train station and 12 minutes by train to Wellington (the very next stop). There is also a bus service to the city with a bus stop only 6 minutes walk away. Interested? Send us a PM. Rent is $190/week. But if you opt for us to provide you with food (breakfast, lunch and cooked dinner) then you pay $240/week ALL INCLUSIVE. We will require two weeks rent as bond and at least one reference from University. International students are most welcome.Suitable for one tenant.No pets or smokers.",0507,Tue 7 Feb,"Built in wardrobe, double bed, study desk and chair, freestandi­ng cupboard,T­V, washing machine,dr­yer",Mature students currently doing Masters or PhD,"Train station 7 mins walk away, bus stop is 6 mins walking distance",Off-street,FDS037,Yes,2,4
36,29 Hindmarsh Street Johnsonville,300,Available Wed 1 Mar,Listed Yesterday,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1257811045.htm,"Johnsonville, Wellington","29 Hindmarsh Street Johnsonville
Johnsonville
Wellington
Wellington",,"1 bedroom house with 1 bathroom.One bedroom house for rent- Johnsonville- Closer to all amenities Spacious 60m2 home located 5min walk to Johnsonville shops and transport. Spacious bedroom, and lounge with a cozy fire place.Enjoy the sun & panoramic views.Rent $ 300 pw Contact Malik 027 220 5585 (after 5:30pm)•	$300 a week•	Spacious 60m2 home•	Closer to all amenities•	5min walk to Johnsonville mall & public transport: bus or train•	All day sun & panoramic views•	Fully fenced garden•	Very clean and tidy•	Spacious lounge with cozy fire place.•	Spacious double bedroom with built-in wardrobe•	Separate Laundry•	Thermal curtains •	Newly insulated Ceiling & under floor•	Brick walls with high thermal mass, to keep the warmness inside. •	Garden shed & wood box•	Quite & peaceful setting•	Strictly no pets.No pets or smokers.",0650,Wed 1 Mar,stove,young couple and retired,"Schools, Parks, Shopping mall, Swimming pool, Bus, Train, community centre, library.",Street Parking,FDS023,Yes,1,1
37,2/33 Matai Road,340,Available Sun 26 Feb,Listed Yesterday,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1257796344.htm,"Hataitai, Wellington","2/33 Matai Road
Hataitai
Wellington
Wellington",,"1 bedroom unit with 1 bathroom.1 bedroom flat close to Hataitai village, with view towards Evans Bay and airport. There are 3 flats, and this is one of the two upstairs flats.Minimum fixed term 12-month lease.Insulated ceiling and floor.Landlord takes care of lawns.Here are some words from the current tenant:""Cozy sunny affordable one bedroom in Hataitai, two minute walk to the shopping centre and a short bus ride from the city centre. Toasty warm in the winter with the heat pump. Spacious yard and patio, and views of Evans Bay from the bedroom.""Viewing this Saturday, 11th Feb, at 11am.Any questions, please email John, or call/txt from Friday. I won't be able to receive calls or texts until Friday 10th Feb.Pets negotiable, no smokers.",0553,Sun 26 Feb,Heat pump.,,,On-street only.,FDS015,Yes,1,1
38,329B Paekakariki hill road,200,Available Sat 18 Feb,Listed Yesterday,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1257702827.htm,"Pauatahanui, Porirua","329B Paekakariki hill road
Pauatahanui
Porirua
Wellington",,1 bedroom house with 1 bathroom.NO VIEWINGS UNTIL FUTHER NOTICEOne bedroom cottage for rent in Pauatahanui.  Cottage located in beautiful surroundings with an abundance of native bird life.  Sheep grazing in nearby paddocks. You will be living in the country but just 30-40mins from Wellington CBD.  Open plan kitchen / dining / living area. Separate bathroom with shower attachment over bath. There is a room off the bedroom that could be used as a study. Would consider someone with a horse as grazing available. Landlord located on lifestyle block but respectful of your privacy.. Suitable for up to 2 tenants.Pets Negotiable.,0966,Sat 18 Feb,,Cottage would suit couple or single person.,,Parking available,FDR930,,1,1
39,172 Matai Road,340,Available Tue 7 Mar,Listed Yesterday,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1257654188.htm,"Raumati Beach, Kapiti Coast","172 Matai Road
Raumati Beach
Kapiti Coast
Wellington",Emma,"2 bedroom house with 1 bathroom.This tidy two bedroom home is located in a great area, a quick walk to schools and shops. The backyard is fully fenced, so safe for kids. It is available to rent from the beginning of March for a long-term tenancy.Kitchen:·	Free-standing oven·	Lots of cupboard storage spaceLounge:·	Spacious·	Opens onto deck area·	CarpetedBedrooms:·	Two double bedrooms·	Each has a built-in wardrobe·	CarpetedBathroom/Laundry:·	Shower over bath·	Toilet·	Vanity·	Separate laundryExterior:·	Single garage (not secured)·	Deck·	Lawns included in rent·	Water not included in rentIn the Area:·	Five minute drive to Paraparaumu Train Station·	Close to transport·	Zoned for Raumati South School·	Zoned for Raumati Beach School·	Zoned for Kapiti CollegeNo pets allowed.Please book yourself in for an appointment via our Viewing Tracker feature.If these times do not suit you then please email through your enquiry.Viewings are by appointment only.**If you are using an iPhone or Android, please download the TradeMe Property app.**No pets.Agency reference #: MATA0172",0678,Tue 7 Mar,No,,,1 Parking Spaces,FDR770,,1,2
40,65B Todman,290,Available Fri 3 Mar,Listed Yesterday,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1257648157.htm,"Brooklyn, Wellington","65B Todman
Brooklyn
Wellington
Wellington",,"1 bedroom house with 1 bathroom.Flat under family home in Brooklyn. Access is a two minute walk down a path with steps. It is accessible by car but no parking available (unless you have scooter or motor bike) Great views and heat pump. Very private section in bush, wake up to the birds.Bus stop at bottom of path2.7 kms to Cuba Street 3 weeks bondplease email:  npdowntown@gmail.comSuitable for up to 2 tenants.No pets.",0606,Fri 3 Mar,Washing machine and fridge supplied.,A single profession­al.,"Salty Pigeon, Penthouse movie theater, shops, Burger Wisconsin, Schools, bottle store",No parking,FDR738,Yes,1,1
41,39a Adams Terrace,320,Available Thu 23 Feb,Listed Yesterday,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1257580074.htm,"Aro Valley, Wellington","39a Adams Terrace
Aro Valley
Wellington
Wellington",Nick Close,1 bedroom house with 1 bathroom.This is a very tidy and well presented 1 bedroom flat on the ground floor in popular Te Aro. Close to everything and only a short walk to the City or University this character property offers the following key features:-Separate lounge with polished floorboardsHeat pumpGood sized double bedroomWell presented kitchenTidy bathroomThis would suit a single person or a couple. Please book into viewing tracker for appointments to viewNo pets or smokers.Agency reference #: IRA5190,0748,Thu 23 Feb,,,,,,,1,1
42,138 Rangituhi Crescent,250,Available Fri 10 Feb,Listed Yesterday,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1257548968.htm,"Elsdon, Porirua","138 Rangituhi Crescent
Elsdon
Porirua
Wellington",Madeleine van Rooyen,"1 bedroom apartment with 1 bathroom.One bedroom flat underneath a house in a handy location next to rangituhi Park.The property has an open plan kitchen and living room, bathroom with shower and laundry. Lawns are done. Parking on streetSuitable for up to 2 tenants.No pets or smokers.Agency reference #: RANG",0328,Fri 10 Feb,unfurnishe­d,references required,,on street,FDR281,Yes,1,1
43,2/198 Cambridge Terrace,345,Available Sat 11 Feb,Listed Yesterday,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1257541590.htm,"Naenae, Lower Hutt","2/198 Cambridge Terrace
Naenae
Lower Hutt
Wellington",Michelle Hibbs,"2 bedroom unit with 1 bathroom.********PLEASE NOTE********We have pre booked viewing times for this property -www.managemypropertyhuttvalley.viewingtracker.com  *********************************This is a lovely two bedroom unit, back off the street and only attached to one other unit. The kitchen has new cabinetry, and plenty of cupboard room. The lounge is large and has plenty of space for a dining area and a lounge area. There is a sliding door that opens out on to the decked area - perfect for the BBQ and table and chairs ready to enjoy the summer months. There is a heatpump in the lounge as well - perfect for keeping warm in the winter months. Both bedrooms are really good sized doubles with built in wardrobes and nice large windows. The bathroom has a shower over the bath and the laundry area is tucked away in here. There is an alarm system in this unit as well - so its nice and secure. Heading outside there is a good sized covered carport right by the front door - so no running in the rain with the groceries! The back yard is fully fenced and has a small shed for extra storage. The rental rate includes the lawns and sections care - so there is nothing to do outside !________________________________________To view this property, please book a time using the link below.--- www.managemypropertyhuttvalley.viewingtracker.com ---___________________________The managemyproperty team are approachable and reliable landlords. We keep up our end of the deal and fix any problems that may come up, and it's easy to get in touch.You can apply online for this property at www.apply.net.nzSuitable for up to 3 tenants.No pets or smokers.Agency reference #: 16192267",0584,Sat 11 Feb,"Oven, Alarm system, Heat pump",,"Close to the bus stop, Railway station, Waterloo &amp; Naenae Shops",1 off street park in covered carport,FDR245,,1,2
44,11/120 Randwick Road,205,Available Mon 27 Feb,Listed Yesterday,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1257531975.htm,"Moera, Lower Hutt","11/120 Randwick Road
Moera
Lower Hutt
Wellington",Courtney Johansen,"1 bedroom unit with 1 bathroom.This 2 storey one bedroom home features downstairs the kitchen (fridge included), open plan living with access to a private patio. Bathroom and laundry area.Upstairs is a double bedroom. There is a designated car park by the side of the unit.Moera shops opposite and close to Hutt City CBD and transport. This property would suit a single person or couple.NO pets please.Good references and clean credit history essential.To view this property please click on icon Email the agent or if you are using a mobile device please go to www.rentalmanagers.viewingtracker.com (please copy and paste this link).** Stating your full name, age, occupation, contact details, who the tenants will be etc. We respond to all emails. All appointments to view are made via viewing tracker Not Trade Me. To see what other properties we have available, please go to www.rentalmanagers.co.nz/properties-for-rentSuitable for up to 2 tenants.No pets or smokers.Agency reference #: RML2138",0646,Mon 27 Feb,Fridge,,,One designated car park,FDR210,,1,1
45,2/159a Newlands Road,350,Available Sat 11 Feb,Listed Yesterday,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1257506405.htm,"Newlands, Wellington","2/159a Newlands Road
Newlands
Wellington
Wellington",Robert Hansen,2 bedroom unit with 1 bathroom.**To view this property book in at www.lpm.viewingtracker.com (copy & paste this link)**Spacious two bedroom property located on a quiet street in Newlands. Large kitchen area with polished wooden floors. Open plan living/dining area. Both of the bedrooms are double sized and the master bedroom has a double wardrobe. Renovated bathroom. Outdoor area with clothesline.**To view this property book in at www.lpm.viewingtracker.com (copy & paste this link)**Suitable for up to 3 tenants.No pets or smokers.Agency reference #: WLP1475,0788,Sat 11 Feb,"Oven, Dishwasher­, Gas heater, HRV panel, Washing machine",,,Shared driveway,,,1,2
46,1c/120 The Terrace,320,Available Fri 10 Feb,Listed Yesterday,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1257483275.htm,"Wellington Central, Wellington","1c/120 The Terrace
Wellington Central
Wellington
Wellington",Aaron Simpson,1 bedroom apartment with 1 bathroom.Furnished one bedroom studio apartment in the heart of the TerraceModern kitchen with good bench and storage space. All appliances including dishwasher. Clean and tidy bathroom with shower & good water pressure. Small balcony.Secure building with swipe card access from the front entrance.If you wish to view please book in via viewing tracker.No pets or smokers.,0393,Fri 10 Feb,Fully furnished,,Everything that Central Wellington has to offer.,,FDQ957,,1,1
47,Left garage/58 Fairlie Street,45,Available Wed 8 Feb,Listed Yesterday,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1257459766.htm,"Kelburn, Wellington","Left garage/58 Fairlie Street
Kelburn
Wellington
Wellington",Lydia Deakin,"1 bedroom house with 1 bathroom.No Bedroom and No BathroomGarage available long term, located on Fairlie Street in Kelburn. An easy walk away from Victoria Campus and Wellington Central.For more information call 021964909No pets or smokers.Agency reference #: RYP498",0393,Wed 8 Feb,,,,,,,1,1
48,CP 3/244  The Terrace,45,Available Sat 4 Feb,Listed Yesterday,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1257458530.htm,"Te Aro, Wellington","CP 3/244  The Terrace
Te Aro
Wellington
Wellington",Lydia Deakin,"1 bedroom house with 1 bathroom.Car park 3 available long term, located 244 The terrace. Great access to Wellington Central and CBD.For more information call 021964909No pets or smokers.Agency reference #: RYP432",0540,Sat 4 Feb,,,,Car Park 3,,,1,1
49,40B Rhine Street,320,Available Mon 13 Feb,Listed Yesterday,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1257454182.htm,"Island Bay, Wellington","40B Rhine Street
Island Bay
Wellington
Wellington",Despina - Nest Property,"1 bedroom unit with 1 bathroom.**No further enquiries please - flat is currently under application so no further viewings at this stage**Welcome to this lovely, private one bedroom flat with great views and loads of sun located in a quiet cul de sac. Nicely presented, it has been recently painted and includes open plan kitchen/living with plenty of storage and the bonus of a office alcove! Good-sized double bedroom with large built in wardrobe,  tidy bathroom and separate laundry. You can’t beat the sunny courtyard to enjoy the afternoon sun and watch the sun set over the hills. Walking distance to bus route, Island Bay shopping center and only a 20 min walk to Wellington hospital.- Warm and cosy living with good sun- Open plan kitchen/living area- Separate laundry- 1 double bedrooms with large built in wardrobe- 1 bathroom- Outdoor courtyard area Will suit a quiet professional single or couple.Email today to arrange a viewing: despina@rentwithnest.co.nzSuitable for up to 2 tenants.No pets or smokers.",0838,Mon 13 Feb,"fridge/fre­ezer, microwave.",Profession­al single or couple,"Island Bay shopping centre, Wellington hospital, golf course, zoo, park reserves",on street,FDQ818,Yes,1,1
50,1/6 Rimu Road,240,Available Mon 27 Feb,Listed Yesterday,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1257454046.htm,"Paraparaumu, Kapiti Coast","1/6 Rimu Road
Paraparaumu
Kapiti Coast
Wellington",Reception,"1 bedroom unit with 1 bathroom.Very roomy 1 bedroom flat.  Large living areas, and close to all amenities.Suitable for up to 2 tenants.No pets or smokers.Agency reference #: KP110872",0644,Mon 27 Feb,,,,No Garage  but off-street parking,FDQ816,,1,1
51,10 Tuki Street,350,Available Sat 18 Mar,"Listed Sat, 4 Feb",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1255648472.htm,"Titahi Bay, Porirua","10 Tuki Street
Titahi Bay
Porirua
Wellington",Reception,"3 bedroom house with 1 bathroom.This tidy property is in an excellent Titahi Bay location.  Two double bedrooms, one twin bedroom, all with wardrobes. 1 off-street park. Seperate cosy lounge. HRV Heating system throughout. Pets may be considered on a case by case basis. To book a viewing of this property click on the Viewing Tracker box, or go to www.quinovicjohnsonville.viewingtracker.com (please copy and paste the link). Note that you must pre book to attend a viewing as numbers are limited for each appointment. The property may be occupied so please do not go on the property without the viewing agent.Suitable for up to 5 tenants.Pets OK, no smokers.Agency reference #: JV130094",2177,Sat 18 Mar,New Oven installed Feb 2017,,,Not Specified,FDP944,,1,3
52,281c Adelaide Rd,300,Available Thu 9 Feb,"Listed Sat, 4 Feb",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1255617569.htm,"Newtown, Wellington","281c Adelaide Rd
Newtown
Wellington
Wellington",Niall Heeran,"1 bedroom unit with 1 bathroom.Welcome home to this spacious downstairs studio flat with separate kitchen, separate bathroom and huge shared back garden.. Relax after a hard days work with a hot drink in the back yard . Invite your friends around and spread out, as there is more than enough space for your furniture.The bedroom/Lounge is large and bright.   With thermal curtains, and modern light fittings the whole property looks good plus is small enough to heat easily, and with insulation in the ceiling to keep the heat in and reduce the sounds from the upstairs flat.Perfectly located, your new flat is just a stroll from Newtown shops, The Basin Reserve, University, Newtown hospital and a healthy walk to the CBD. A bonus is that there is a dish-drawer  lots of kitchen cabinets, and washing machine in place and ready to use.  ****NB.  This is a studio flat.  The bedroom and lounge is in one big room.****Another bonus is the large shared back garden, right outside your door.   Lots of space for the BBQ and your outdoor furniture.  The flat is in a great location, ideal for considerate people, and just a stroll to Newtown, Uni and the Hospital.Ideal Living!***********Request a viewing right now, go to www.rentwellington.viewingtracker.com and book a time to view***********Suitable for up to 2 tenants.No pets or smokers.Agency reference #: NHW2068",1577,Thu 9 Feb,"Dishwasher­, washing machine, ceiling insulation",,,On street parking,,,1,1
53,Otaki,350,Available Mon 13 Feb,"Listed Fri, 3 Feb",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1255317332.htm,"Otaki, Kapiti Coast","Otaki
Kapiti Coast
Wellington",MAY MACKINNON,3 bedroom house with 1 bathroom.OTAKI PLATEAU SUNNY THREE BEDROOM HOMEOPEN PLAN DINING LOUNGE NEWLY PAINTED THREE BEDROOM BUILT IN WARDROBES SEPARATE TOILET BATH WITH SHOWER VENTING OUTSIDE SEPARATE LAUNDRY MODERN KITCHENHEAT PUMP  FULLY INSULATED TOP AND BOTTOMQUITE LOCATIONSHED FOR STORAGE LARGE DECKING WITH BUILT IN SEATING INSIDE OUT LIVING FULLY FENCED OFF STREET PARKINGFREE VIEW RECEIVER WITH DISHDRIVE ON PARKINGFULLY FENCED Suitable for up to 4 tenants.No pets or smokers.,0434,Mon 13 Feb,SKY DISH WITH FREE VIEW CONTROL AND REMOTE    HEAT PUMP,FAMILY OR OLDER PERSON WANTING WARM HOME LONG TERM,WALK TO SCHOOL FIVE MINUTES    SHOP &amp; PARKS,OFF STREET PARKING,FDP743,,1,3
54,4/11 Rotoiti St,320,Available Sun 12 Feb,"Listed Fri, 3 Feb",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1255182870.htm,"Johnsonville, Wellington","4/11 Rotoiti St
Johnsonville
Wellington
Wellington",Sandra Crews,"1 bedroom unit with 1 bathroom.Lovely one bedroom flat recently refurbished and insulated in lounge and bedroom.   Large grassy, maintained, outdoor area suitable for a garden.  Good sized kitchen, dining and lounge areas.New curtains throughout.   One panel heater in the lounge.Great family friendly property with two blocks with 8 flats in each block.  Well managed flats.To book a viewing time for this property please use the Viewing Tracker link above, or go to www.niceplace.viewingtracker.comSuitable for one tenant.No pets or smokers.Agency reference #: Rotoiti",1542,Sun 12 Feb,microwave,Clean and tidy,"Close to train and bus stops, shops, pool and library",one carpark,FDP645,Yes,1,1
55,Salamanca Road,350,Available Sun 19 Feb,"Listed Fri, 3 Feb",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1255133315.htm,"Kelburn, Wellington","Salamanca Road
Kelburn
Wellington
Wellington",,"1 bedroom apartment with 1 bathroom.Great location - very close to city and Uni. Bottom flat in small block of three - sheltered, cosy, morning sun. New bathroom, separate kitchen. Living room  and bedroom in good condition. Good storage in the bedroom. Double hung curtains providedNB walls are now whiteOne year fixed term preferred.Please phone 021 895 296 to arrange a viewingSuitable for up to 2 tenants.No pets or smokers.",0950,Sun 19 Feb,"Washing Machine, Dryer, Stove and Fridge provided",Quiet considerat­e single or couple,"Very close to city, cable car and Uni",Residents Parking Area,FDP441,Yes,1,1
56,8/50 Buckley Road,325,Available Tue 28 Feb,"Listed Fri, 3 Feb",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1255072814.htm,"Melrose, Wellington","8/50 Buckley Road
Melrose
Wellington
Wellington",Shale - Email answered Wk/days only,1 bedroom apartment with 1 bathroom.Wonderful views over Island Bay and the Kaikouras from this all day sun townhouse.Open plan kitchen/lounge.Bathroom with shower & laundry area.Double bedroom with good storage.Off street car park at the front doorTo book a viewing for this property: Copy & paste the following link into your web browser: http://www.careproperties.viewingtracker.com Or Click the ‘ Book a Viewing’ tab if you have a Trade Me log in.Suitable for up to 2 tenants.No pets or smokers.Agency reference #: 8/50 Buckley,0608,Tue 28 Feb,"Carpets, drapes, electric hot water &amp; cooker",Single or couple,"On bus route, 5 mins drive into Newtown , 15 mins into centre of town",1 off street park at front door,FDP159,Yes,1,1
57,Titahi Bay,340,Available Wed 8 Feb,"Listed Fri, 3 Feb",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1254997517.htm,"Titahi Bay, Porirua","Titahi Bay
Porirua
Wellington",Rochelle Lawrie,"3 bedroom house with 1 bathroom.Morere St, Titahi Bay3 bedroom Lockwood style, tidy home. Plenty of sunshine.Close to schools.Woodburner to keep nice and warm.Two outdoor decked areas to enjoy the sunshine.No garage but space for 3 off street car parks.Contact us to make a time to viewNo pets or smokers.Agency reference #: AAN1441",2323,Wed 8 Feb,,,,,,,1,3
58,2/12 Thornley Street,350,Available Mon 27 Feb,"Listed Fri, 3 Feb",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1254919908.htm,"Titahi Bay, Porirua","2/12 Thornley Street
Titahi Bay
Porirua
Wellington",Madeleine van Rooyen,"2 bedroom townhouse with 2 bathrooms.ALL BOOKINGS TO BE MADE THROUGH VIEWING TRACKER PLEASE. DUE TO EXTREME DEMAND, INDIVIDUAL INQUIRIES MIGHT UNFORTUNATELY BE OVERLOOKEDAwesome 2 bedroom home with 2 bathrooms, open plan living and stunning water views.Suitable for up to 2 tenants.No pets or smokers.Agency reference #: Thornley",1309,Mon 27 Feb,Fridge freezer included,References required,,Car pad,FDN654,Yes,2,2
59,Oriwa Street,300,Available Sat 11 Feb,"Listed Thu, 2 Feb",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1254475733.htm,"Waikanae, Kapiti Coast","Oriwa Street
Waikanae
Kapiti Coast
Wellington",Katrina Wearne,"2 bedroom unit with 1 bathroom.This 2 bedroom townhouse is in a fantastic location close to schools, public transport, walk to the pools & parks in summer time and only 2 minutes drive from the shops.2 good sized bedrooms, open plan lounge, dining & Kitchen and the property was painted, carpeted and re-tiled 2 years ago.The garage is not part of the tenancy, however can be partially used for storage and rent has been priced accordingly.Cat negotiable.To apply please either contact the advertiser/enquire giving your details and a contact phone number or to apply online please copy and paste the URL into your browser:  www.tpsportal.co.nz/tenancy_application/tps2000Move in costs:  4 weeks rent as bond, 1 weeks rent as letting fee and 1 weeks rent in advance.Suitable for up to 2 tenants.Pets negotiable, no smokers.",1397,Sat 11 Feb,Oven,Profession­al Couple or small family,"close to schools, public transport, walk to the pools &amp; parks &amp; only 2 minutes drive from the shops",Off Street,FDN277,Yes,1,2
60,5/396 Cambridge Terrace,310,Available Fri 10 Feb,"Listed Thu, 2 Feb",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1254366992.htm,"Naenae, Lower Hutt","5/396 Cambridge Terrace
Naenae
Lower Hutt
Wellington",Nick Neary,"2 bedroom house with 1 bathroom.This tidy 2 bedroom unit is a 2 story split flat with a fenced backyard.You will find 2 decent sized rooms upstairs, a compact bathroom with shower over the bath and a cosey sized living room on the bottom level.This flat is within walking distance to the Naenae shops and train station so is handily placed for all amenities.Book a viewing or register your interest via the Viewing Tracker link or via the below.https://rwlowerhutt.viewingtracker.com/Your family pet may be considered.Agency reference #: LWH22737",1755,Fri 10 Feb,,,,Single car carport,,,1,2
